"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","66"
"Cow Dung","1"
"Electricity","0"
"Kerosene","0"
"LP Gas","48"
"Not stated","9"
"Others","0"
"Wood/Firewood","3363"
"Total","3487"
