"Population by Mother tongue","Number"
"Bote",""
"Female","22"
"Male","10"
"Darai",""
"Female","59"
"Male","43"
"Doteli",""
"Female","26"
"Male","25"
"Gurung",""
"Female","52"
"Male","42"
"Khash",""
"Female","641"
"Male","444"
"Kumal",""
"Female","25"
"Male","18"
"Magar",""
"Female","6639"
"Male","5645"
"Nepali",""
"Female","2799"
"Male","2271"
"Newar",""
"Female","164"
"Male","133"
"Others",""
"Female","11"
"Male","12"
"Sign Language",""
"Female","15"
"Male","13"
"Urdu",""
"Female","6"
"Male","7"
