"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","51"
"Male","42"
"Brahman - Hill",""
"Female","309"
"Male","228"
"Chhetri",""
"Female","269"
"Male","218"
"Dalit Others",""
"Female","799"
"Male","597"
"Damai/Dholi",""
"Female","223"
"Male","203"
"Darai",""
"Female","59"
"Male","43"
"Gharti/Bhujel",""
"Female","47"
"Male","35"
"Gurung",""
"Female","54"
"Male","43"
"Kami",""
"Female","306"
"Male","248"
"Kumal",""
"Female","791"
"Male","668"
"Magar",""
"Female","6704"
"Male","5692"
"Musalman",""
"Female","8"
"Male","8"
"Newar",""
"Female","190"
"Male","156"
"Others",""
"Female","19"
"Male","17"
"Sanyasi/Dasnami",""
"Female","94"
"Male","64"
"Sarki",""
"Female","335"
"Male","257"
"Tamang",""
"Female","5"
"Male","6"
"Thakuri",""
"Female","196"
"Male","138"
