"Number of households by type of outer wall","Number"
"BambooWall","41"
"Cement Bonded Bricks/Stone Wall","250"
"Mud Bonded Bricks/Stone Wall","2694"
"Not stated","17"
"Others","1"
"Unbaked Bricks","2"
"Wood/Planks","479"
"Total","3484"
