"Population by Five Years Age Group","Number"
"0-4",""
"Female","1190"
"Male","1281"
"10-14",""
"Female","1483"
"Male","1486"
"15-19",""
"Female","1212"
"Male","777"
"20-24",""
"Female","861"
"Male","396"
"25-29",""
"Female","769"
"Male","343"
"30-34",""
"Female","622"
"Male","321"
"35-39",""
"Female","567"
"Male","382"
"40-44",""
"Female","447"
"Male","367"
"45-49",""
"Female","379"
"Male","292"
"50-54",""
"Female","340"
"Male","304"
"55-59",""
"Female","298"
"Male","264"
"5-9",""
"Female","1448"
"Male","1496"
"60-64",""
"Female","273"
"Male","205"
"65-69",""
"Female","174"
"Male","181"
"70-74",""
"Female","121"
"Male","119"
"75+",""
"Female","143"
"Male","116"
