"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","59"
"Male","50"
"Brahman - Hill",""
"Female","538"
"Male","425"
"Chhetri",""
"Female","832"
"Male","661"
"Damai/Dholi",""
"Female","298"
"Male","236"
"Foreigner",""
"Female","12"
"Male","6"
"Gaine",""
"Female","7"
"Male","7"
"Gurung",""
"Female","384"
"Male","319"
"Kami",""
"Female","1285"
"Male","914"
"Kumal",""
"Female","465"
"Male","391"
"Kusunda",""
"Female","10"
"Male","8"
"Magar",""
"Female","5504"
"Male","4541"
"Musalman",""
"Female","266"
"Male","195"
"Newar",""
"Female","90"
"Male","72"
"Others",""
"Female","15"
"Male","12"
"Sanyasi/Dasnami",""
"Female","138"
"Male","105"
"Sarki",""
"Female","95"
"Male","77"
"Thakuri",""
"Female","14"
"Male","12"
"Tharu",""
"Female","306"
"Male","278"
