"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","2464"
"Mud Roof","0"
"Not Sated Roof","126"
"Other Type of Roof","200"
"RCC Roof","1927"
"Thatch/Straw Roof","1802"
"Tile/Slate Roof","8079"
"Wood/Planks Roof","159"
"Total","14757"
