"Population by Five Years Age Group","Number"
"0-4",""
"Female","2091"
"Male","2261"
"10-14",""
"Female","2439"
"Male","2592"
"15-19",""
"Female","1900"
"Male","1650"
"20-24",""
"Female","1739"
"Male","1931"
"25-29",""
"Female","1267"
"Male","1805"
"30-34",""
"Female","1157"
"Male","1051"
"35-39",""
"Female","1033"
"Male","931"
"40-44",""
"Female","864"
"Male","736"
"45-49",""
"Female","656"
"Male","579"
"50-54",""
"Female","592"
"Male","504"
"55-59",""
"Female","497"
"Male","387"
"5-9",""
"Female","2332"
"Male","2521"
"60-64",""
"Female","613"
"Male","326"
"65-69",""
"Female","413"
"Male","258"
"70-74",""
"Female","282"
"Male","207"
"75+",""
"Female","239"
"Male","185"
