"Population by Mother tongue","Number"
"Baitadeli",""
"Female","28"
"Male","26"
"Bangla",""
"Female","6"
"Male","5"
"Bhojpuri",""
"Female","4"
"Male","11"
"Doteli",""
"Female","15739"
"Male","12520"
"Hindi",""
"Female","21"
"Male","53"
"Magar",""
"Female","25"
"Male","31"
"Maithili",""
"Female","46"
"Male","90"
"Nepali",""
"Female","1937"
"Male","2094"
"Newar",""
"Female","23"
"Male","24"
"Not Reported",""
"Female","11"
"Male","8"
"Others",""
"Female","34"
"Male","48"
"Tamang",""
"Female","4"
"Male","8"
"Tharu",""
"Female","49"
"Male","78"
"Urdu",""
"Female","7"
"Male","11"
