"Population by Five Years Age Group","Number"
"0-4",""
"Female","1087"
"Male","1058"
"10-14",""
"Female","1364"
"Male","1332"
"15-19",""
"Female","1195"
"Male","983"
"20-24",""
"Female","896"
"Male","721"
"25-29",""
"Female","694"
"Male","534"
"30-34",""
"Female","621"
"Male","481"
"35-39",""
"Female","538"
"Male","480"
"40-44",""
"Female","444"
"Male","413"
"45-49",""
"Female","375"
"Male","370"
"50-54",""
"Female","300"
"Male","305"
"55-59",""
"Female","279"
"Male","290"
"5-9",""
"Female","1168"
"Male","1307"
"60-64",""
"Female","235"
"Male","240"
"65-69",""
"Female","151"
"Male","148"
"70-74",""
"Female","83"
"Male","76"
"75+",""
"Female","56"
"Male","49"
