"Agricultural land use area","Hectare"
"Area under arable land","62196.00"
"Area under meadows and pasture","24.00"
"Area under permanent crops","554.00"
"Area under Temporary crops","62035.00"
"Area under temporary fallow","160.00"
"Area under temporary meadows","2.00"
"Other land","3798.00"
"Ponds","67.00"
"Woodland and forest","19.00"
"Total","128855.00"
