"Population by Literacy Status","Number"
"Literate",""
"Female","204889"
"Male","251413"
"","456302"
"Not Read/Write",""
"Female","144631"
"Male","72456"
"","217087"
"Not Stated",""
"Female","159"
"Male","78"
"","237"
"Read Only",""
"Female","10308"
"Male","8491"
"","18799"
