"Number of households by type of outer wall","Number"
"BambooWall","28344"
"Cement Bonded Bricks/Stone Wall","33482"
"Mud Bonded Bricks/Stone Wall","21368"
"Not Stated about Wall","1007"
"Other Type Wall","11393"
"Unbaked Bricks","1208"
"Wood/Planks","45611"
"Total","142413"
