"Population by Five Years Age Group","Number"
"0-4",""
"Female","2556"
"Male","2523"
"10-14",""
"Female","3215"
"Male","3205"
"15-19",""
"Female","2417"
"Male","2467"
"20-24",""
"Female","1975"
"Male","1815"
"25-29",""
"Female","1766"
"Male","1745"
"30-34",""
"Female","1572"
"Male","1479"
"35-39",""
"Female","1471"
"Male","1438"
"40-44",""
"Female","1203"
"Male","1272"
"45-49",""
"Female","923"
"Male","1030"
"50-54",""
"Female","645"
"Male","803"
"55-59",""
"Female","619"
"Male","598"
"5-9",""
"Female","3378"
"Male","3387"
"60-64",""
"Female","518"
"Male","608"
"65-69",""
"Female","373"
"Male","420"
"70-74",""
"Female","343"
"Male","347"
"75+",""
"Female","238"
"Male","269"
