"Population by Five Years Age Group","Number"
"0-4",""
"Female","1052"
"Male","1039"
"10-14",""
"Female","1289"
"Male","1334"
"15-19",""
"Female","1225"
"Male","760"
"20-24",""
"Female","1047"
"Male","412"
"25-29",""
"Female","808"
"Male","291"
"30-34",""
"Female","557"
"Male","292"
"35-39",""
"Female","575"
"Male","280"
"40-44",""
"Female","540"
"Male","303"
"45-49",""
"Female","427"
"Male","319"
"50-54",""
"Female","375"
"Male","286"
"55-59",""
"Female","345"
"Male","283"
"5-9",""
"Female","1129"
"Male","1245"
"60-64",""
"Female","306"
"Male","257"
"65-69",""
"Female","217"
"Male","186"
"70-74",""
"Female","113"
"Male","124"
"75+",""
"Female","137"
"Male","133"
