"Population by Single Year of Age","Number"
"0",""
"Female","1119"
"Male","1126"
"1",""
"Female","927"
"Male","1019"
"10",""
"Female","1709"
"Male","1753"
"11",""
"Female","1441"
"Male","1463"
"12",""
"Female","1740"
"Male","1966"
"13",""
"Female","1592"
"Male","1643"
"14",""
"Female","1692"
"Male","1879"
"15",""
"Female","1661"
"Male","1622"
"16",""
"Female","1641"
"Male","1613"
"17",""
"Female","1534"
"Male","1557"
"18",""
"Female","1940"
"Male","1856"
"19",""
"Female","1405"
"Male","1232"
"2",""
"Female","1060"
"Male","1180"
"20",""
"Female","1950"
"Male","1499"
"21",""
"Female","1441"
"Male","1158"
"22",""
"Female","2036"
"Male","1534"
"23",""
"Female","1519"
"Male","1129"
"24",""
"Female","1588"
"Male","1174"
"25",""
"Female","2171"
"Male","1605"
"26",""
"Female","1493"
"Male","1170"
"27",""
"Female","1530"
"Male","1178"
"28",""
"Female","1736"
"Male","1479"
"29",""
"Female","912"
"Male","783"
"3",""
"Female","1100"
"Male","1067"
"30",""
"Female","2356"
"Male","1843"
"31",""
"Female","761"
"Male","664"
"32",""
"Female","1505"
"Male","1235"
"33",""
"Female","881"
"Male","714"
"34",""
"Female","950"
"Male","769"
"35",""
"Female","2195"
"Male","1879"
"36",""
"Female","1005"
"Male","859"
"37",""
"Female","690"
"Male","649"
"38",""
"Female","1099"
"Male","931"
"39",""
"Female","562"
"Male","499"
"4",""
"Female","1184"
"Male","1340"
"40",""
"Female","1829"
"Male","1834"
"41",""
"Female","535"
"Male","528"
"42",""
"Female","837"
"Male","798"
"43",""
"Female","555"
"Male","560"
"44",""
"Female","430"
"Male","446"
"45",""
"Female","1219"
"Male","1302"
"46",""
"Female","529"
"Male","490"
"47",""
"Female","392"
"Male","381"
"48",""
"Female","613"
"Male","644"
"49",""
"Female","352"
"Male","306"
"5",""
"Female","1337"
"Male","1426"
"50",""
"Female","1151"
"Male","1200"
"51",""
"Female","334"
"Male","370"
"52",""
"Female","490"
"Male","548"
"53",""
"Female","369"
"Male","286"
"54",""
"Female","279"
"Male","314"
"55",""
"Female","762"
"Male","784"
"56",""
"Female","368"
"Male","349"
"57",""
"Female","292"
"Male","287"
"58",""
"Female","392"
"Male","353"
"59",""
"Female","239"
"Male","241"
"6",""
"Female","1288"
"Male","1378"
"60",""
"Female","852"
"Male","876"
"61",""
"Female","234"
"Male","223"
"62",""
"Female","289"
"Male","280"
"63",""
"Female","206"
"Male","175"
"64",""
"Female","200"
"Male","196"
"65",""
"Female","555"
"Male","478"
"66",""
"Female","183"
"Male","153"
"67",""
"Female","228"
"Male","192"
"68",""
"Female","245"
"Male","253"
"69",""
"Female","104"
"Male","111"
"7",""
"Female","1482"
"Male","1536"
"70",""
"Female","485"
"Male","431"
"71",""
"Female","100"
"Male","122"
"72",""
"Female","154"
"Male","157"
"73",""
"Female","112"
"Male","92"
"74",""
"Female","80"
"Male","82"
"75",""
"Female","227"
"Male","208"
"76",""
"Female","81"
"Male","85"
"77",""
"Female","101"
"Male","94"
"78",""
"Female","147"
"Male","123"
"79",""
"Female","42"
"Male","56"
"8",""
"Female","1489"
"Male","1692"
"80",""
"Female","164"
"Male","118"
"81",""
"Female","43"
"Male","46"
"82",""
"Female","60"
"Male","42"
"83",""
"Female","57"
"Male","51"
"84",""
"Female","51"
"Male","58"
"85",""
"Female","326"
"Male","203"
"9",""
"Female","1318"
"Male","1429"
