"Population by Five Years Age Group","Number"
"0-4",""
"Female","5390"
"Male","5732"
"10-14",""
"Female","8174"
"Male","8704"
"15-19",""
"Female","8181"
"Male","7880"
"20-24",""
"Female","8534"
"Male","6494"
"25-29",""
"Female","7842"
"Male","6215"
"30-34",""
"Female","6453"
"Male","5225"
"35-39",""
"Female","5551"
"Male","4817"
"40-44",""
"Female","4186"
"Male","4166"
"45-49",""
"Female","3105"
"Male","3123"
"50-54",""
"Female","2623"
"Male","2718"
"55-59",""
"Female","2053"
"Male","2014"
"5-9",""
"Female","6914"
"Male","7461"
"60-64",""
"Female","1781"
"Male","1750"
"65-69",""
"Female","1315"
"Male","1187"
"70-74",""
"Female","931"
"Male","884"
"75+",""
"Female","1299"
"Male","1084"
