"Population by Five Years Age Group","Number"
"0-4",""
"Female","862"
"Male","945"
"10-14",""
"Female","1378"
"Male","1343"
"15-19",""
"Female","1004"
"Male","1026"
"20-24",""
"Female","702"
"Male","630"
"25-29",""
"Female","678"
"Male","522"
"30-34",""
"Female","488"
"Male","450"
"35-39",""
"Female","496"
"Male","451"
"40-44",""
"Female","474"
"Male","489"
"45-49",""
"Female","450"
"Male","446"
"50-54",""
"Female","421"
"Male","468"
"55-59",""
"Female","319"
"Male","392"
"5-9",""
"Female","1310"
"Male","1290"
"60-64",""
"Female","376"
"Male","383"
"65-69",""
"Female","246"
"Male","261"
"70-74",""
"Female","198"
"Male","197"
"75+",""
"Female","248"
"Male","288"
