"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","292"
"Male","226"
"Chhetri",""
"Female","1078"
"Male","999"
"Damai/Dholi",""
"Female","138"
"Male","146"
"Gharti/Bhujel",""
"Female","111"
"Male","98"
"Gurung",""
"Female","20"
"Male","22"
"Kami",""
"Female","483"
"Male","396"
"Magar",""
"Female","133"
"Male","129"
"Newar",""
"Female","1324"
"Male","1366"
"Others",""
"Female","19"
"Male","31"
"Sanyasi/Dasnami",""
"Female","11"
"Male","9"
"Sarki",""
"Female","95"
"Male","76"
"Sherpa",""
"Female","353"
"Male","342"
"Tamang",""
"Female","5593"
"Male","5741"
