"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","546"
"Cow Dung","76"
"Electricity","49"
"Kerosene","43"
"LP Gas","840"
"Not stated","93"
"Others","2"
"Wood/Firewood","6952"
"Total","8601"
