"Population by Five Years Age Group","Number"
"0-4",""
"Female","1843"
"Male","1967"
"10-14",""
"Female","3121"
"Male","3160"
"15-19",""
"Female","2586"
"Male","2532"
"20-24",""
"Female","2089"
"Male","1575"
"25-29",""
"Female","1894"
"Male","1336"
"30-34",""
"Female","1547"
"Male","1343"
"35-39",""
"Female","1432"
"Male","1298"
"40-44",""
"Female","1234"
"Male","1158"
"45-49",""
"Female","966"
"Male","1024"
"50-54",""
"Female","775"
"Male","844"
"55-59",""
"Female","651"
"Male","668"
"5-9",""
"Female","2684"
"Male","2652"
"60-64",""
"Female","615"
"Male","635"
"65-69",""
"Female","414"
"Male","481"
"70-74",""
"Female","314"
"Male","345"
"75+",""
"Female","364"
"Male","377"
