"Population by Mother tongue","Number"
"Bajjika",""
"Female","1924"
"Male","1834"
"Bhojpuri",""
"Female","36"
"Male","36"
"Bhujel",""
"Female","30"
"Male","22"
"Danuwar",""
"Female","282"
"Male","295"
"Gurung",""
"Female","15"
"Male","12"
"Hindi",""
"Female","263"
"Male","260"
"Magahi",""
"Female","148"
"Male","143"
"Magar",""
"Female","578"
"Male","575"
"Maithili",""
"Female","3152"
"Male","3209"
"Majhi",""
"Female","10"
"Male","17"
"Nepali",""
"Female","9223"
"Male","8600"
"Newar",""
"Female","344"
"Male","327"
"Not Reported",""
"Female","158"
"Male","145"
"Others",""
"Female","18"
"Male","9"
"Rai",""
"Female","44"
"Male","55"
"Sunuwar",""
"Female","55"
"Male","58"
"Tamang",""
"Female","4693"
"Male","4355"
"Thami",""
"Female","31"
"Male","26"
"Tharu",""
"Female","10"
"Male","8"
"Urdu",""
"Female","1515"
"Male","1409"
