"Number of households by type of outer wall","Number"
"BambooWall","75989"
"Cement Bonded Bricks/Stone Wall","26838"
"Mud Bonded Bricks/Stone Wall","3575"
"Not stated","927"
"Others","240"
"Unbaked Bricks","114"
"Wood/Planks","3615"
"Total","111298"
