"Agricultural land use area","Hectare"
"Area under arable land","59649.43"
"Area under meadows and pasture","66.54"
"Area under permanent crops","3160.10"
"Area under Temporary crops","58592.19"
"Area under temporary fallow","701.91"
"Area under temporary meadows","355.33"
"Other land","2001.94"
"Ponds","21.38"
"Woodland and forest","77.85"
