"Population by Five Years Age Group","Number"
"0-4",""
"Female","1702"
"Male","1759"
"10-14",""
"Female","1893"
"Male","1979"
"15-19",""
"Female","1471"
"Male","1424"
"20-24",""
"Female","1079"
"Male","866"
"25-29",""
"Female","919"
"Male","708"
"30-34",""
"Female","758"
"Male","559"
"35-39",""
"Female","714"
"Male","596"
"40-44",""
"Female","593"
"Male","510"
"45-49",""
"Female","443"
"Male","429"
"50-54",""
"Female","368"
"Male","311"
"55-59",""
"Female","333"
"Male","353"
"5-9",""
"Female","1889"
"Male","1975"
"60-64",""
"Female","365"
"Male","276"
"65-69",""
"Female","244"
"Male","220"
"70-74",""
"Female","155"
"Male","127"
"75+",""
"Female","100"
"Male","122"
