"Population by Single Year of Age","Number"
"0",""
"Female","300"
"Male","309"
"1",""
"Female","267"
"Male","276"
"10",""
"Female","428"
"Male","421"
"11",""
"Female","317"
"Male","341"
"12",""
"Female","399"
"Male","479"
"13",""
"Female","379"
"Male","359"
"14",""
"Female","370"
"Male","379"
"15",""
"Female","308"
"Male","323"
"16",""
"Female","339"
"Male","334"
"17",""
"Female","233"
"Male","249"
"18",""
"Female","390"
"Male","316"
"19",""
"Female","201"
"Male","202"
"2",""
"Female","344"
"Male","340"
"20",""
"Female","251"
"Male","199"
"21",""
"Female","210"
"Male","174"
"22",""
"Female","268"
"Male","219"
"23",""
"Female","168"
"Male","138"
"24",""
"Female","182"
"Male","136"
"25",""
"Female","245"
"Male","191"
"26",""
"Female","200"
"Male","154"
"27",""
"Female","172"
"Male","118"
"28",""
"Female","226"
"Male","174"
"29",""
"Female","76"
"Male","71"
"3",""
"Female","402"
"Male","391"
"30",""
"Female","282"
"Male","169"
"31",""
"Female","77"
"Male","73"
"32",""
"Female","188"
"Male","157"
"33",""
"Female","101"
"Male","73"
"34",""
"Female","110"
"Male","87"
"35",""
"Female","310"
"Male","200"
"36",""
"Female","103"
"Male","136"
"37",""
"Female","67"
"Male","64"
"38",""
"Female","167"
"Male","142"
"39",""
"Female","67"
"Male","54"
"4",""
"Female","389"
"Male","443"
"40",""
"Female","277"
"Male","195"
"41",""
"Female","88"
"Male","81"
"42",""
"Female","113"
"Male","101"
"43",""
"Female","64"
"Male","65"
"44",""
"Female","51"
"Male","68"
"45",""
"Female","199"
"Male","179"
"46",""
"Female","57"
"Male","64"
"47",""
"Female","40"
"Male","51"
"48",""
"Female","101"
"Male","89"
"49",""
"Female","46"
"Male","46"
"5",""
"Female","391"
"Male","408"
"50",""
"Female","207"
"Male","128"
"51",""
"Female","42"
"Male","43"
"52",""
"Female","50"
"Male","74"
"53",""
"Female","33"
"Male","33"
"54",""
"Female","36"
"Male","33"
"55",""
"Female","125"
"Male","133"
"56",""
"Female","62"
"Male","65"
"57",""
"Female","29"
"Male","38"
"58",""
"Female","73"
"Male","78"
"59",""
"Female","44"
"Male","39"
"6",""
"Female","406"
"Male","408"
"60",""
"Female","174"
"Male","113"
"61",""
"Female","51"
"Male","52"
"62",""
"Female","78"
"Male","46"
"63",""
"Female","29"
"Male","27"
"64",""
"Female","33"
"Male","38"
"65",""
"Female","138"
"Male","93"
"66",""
"Female","24"
"Male","29"
"67",""
"Female","22"
"Male","25"
"68",""
"Female","46"
"Male","54"
"69",""
"Female","14"
"Male","19"
"7",""
"Female","368"
"Male","386"
"70",""
"Female","96"
"Male","56"
"71",""
"Female","12"
"Male","15"
"72",""
"Female","23"
"Male","27"
"73",""
"Female","15"
"Male","16"
"74",""
"Female","9"
"Male","13"
"75",""
"Female","19"
"Male","21"
"76",""
"Female","6"
"Male","10"
"77",""
"Female","5"
"Male","12"
"78",""
"Female","13"
"Male","16"
"79",""
"Female","3"
"Male","9"
"8",""
"Female","401"
"Male","423"
"80",""
"Female","18"
"Male","20"
"81",""
"Female","3"
"Male","5"
"82",""
"Female","3"
"Male","5"
"83",""
"Female","1"
"Male","5"
"84",""
"Female","6"
"Male","2"
"85",""
"Female","23"
"Male","17"
"9",""
"Female","323"
"Male","350"
