"Agricultural land use area","Hectare"
"Area under arable land","55735.39"
"Area under meadows and pasture","298.32"
"Area under permanent crops","2765.40"
"Area under Temporary crops","55389.12"
"Area under temporary fallow","295.70"
"Area under temporary meadows","50.57"
"Other land","2781.96"
"Ponds","14.58"
"Woodland and forest","355.82"
