"Population by Single Year of Age","Number"
"0",""
"Female","4860"
"Male","5037"
"1",""
"Female","4457"
"Male","4836"
"10",""
"Female","8113"
"Male","8565"
"11",""
"Female","6715"
"Male","6817"
"12",""
"Female","8434"
"Male","9006"
"13",""
"Female","7344"
"Male","7176"
"14",""
"Female","7781"
"Male","7485"
"15",""
"Female","7346"
"Male","6771"
"16",""
"Female","7704"
"Male","6662"
"17",""
"Female","6912"
"Male","5733"
"18",""
"Female","8311"
"Male","6845"
"19",""
"Female","5338"
"Male","3968"
"2",""
"Female","5201"
"Male","5433"
"20",""
"Female","7488"
"Male","5030"
"21",""
"Female","5127"
"Male","3570"
"22",""
"Female","6787"
"Male","4684"
"23",""
"Female","5071"
"Male","3350"
"24",""
"Female","5242"
"Male","3511"
"25",""
"Female","7236"
"Male","4752"
"26",""
"Female","4980"
"Male","3387"
"27",""
"Female","4801"
"Male","3465"
"28",""
"Female","5852"
"Male","4359"
"29",""
"Female","2970"
"Male","2269"
"3",""
"Female","5574"
"Male","5711"
"30",""
"Female","7719"
"Male","5333"
"31",""
"Female","2505"
"Male","2086"
"32",""
"Female","4631"
"Male","3627"
"33",""
"Female","2981"
"Male","2261"
"34",""
"Female","2931"
"Male","2247"
"35",""
"Female","7034"
"Male","5777"
"36",""
"Female","3420"
"Male","2705"
"37",""
"Female","2389"
"Male","2003"
"38",""
"Female","3490"
"Male","2959"
"39",""
"Female","2036"
"Male","1735"
"4",""
"Female","6044"
"Male","6321"
"40",""
"Female","6658"
"Male","5492"
"41",""
"Female","1780"
"Male","1657"
"42",""
"Female","2945"
"Male","2735"
"43",""
"Female","1926"
"Male","1680"
"44",""
"Female","1712"
"Male","1457"
"45",""
"Female","4752"
"Male","4601"
"46",""
"Female","1797"
"Male","1885"
"47",""
"Female","1452"
"Male","1382"
"48",""
"Female","2351"
"Male","2189"
"49",""
"Female","1407"
"Male","1224"
"5",""
"Female","6572"
"Male","6802"
"50",""
"Female","4628"
"Male","4264"
"51",""
"Female","1223"
"Male","1352"
"52",""
"Female","1931"
"Male","2010"
"53",""
"Female","1086"
"Male","1195"
"54",""
"Female","1106"
"Male","982"
"55",""
"Female","2787"
"Male","3098"
"56",""
"Female","1431"
"Male","1440"
"57",""
"Female","1112"
"Male","1160"
"58",""
"Female","1490"
"Male","1495"
"59",""
"Female","998"
"Male","913"
"6",""
"Female","6437"
"Male","6703"
"60",""
"Female","3714"
"Male","3329"
"61",""
"Female","979"
"Male","1112"
"62",""
"Female","1195"
"Male","1135"
"63",""
"Female","790"
"Male","652"
"64",""
"Female","789"
"Male","760"
"65",""
"Female","2208"
"Male","2108"
"66",""
"Female","723"
"Male","804"
"67",""
"Female","674"
"Male","806"
"68",""
"Female","915"
"Male","1109"
"69",""
"Female","345"
"Male","533"
"7",""
"Female","6845"
"Male","7063"
"70",""
"Female","1703"
"Male","1507"
"71",""
"Female","289"
"Male","360"
"72",""
"Female","535"
"Male","614"
"73",""
"Female","315"
"Male","393"
"74",""
"Female","237"
"Male","289"
"75",""
"Female","786"
"Male","694"
"76",""
"Female","222"
"Male","270"
"77",""
"Female","201"
"Male","202"
"78",""
"Female","270"
"Male","364"
"79",""
"Female","140"
"Male","194"
"8",""
"Female","7330"
"Male","7763"
"80",""
"Female","476"
"Male","356"
"81",""
"Female","85"
"Male","101"
"82",""
"Female","128"
"Male","143"
"83",""
"Female","90"
"Male","110"
"84",""
"Female","107"
"Male","131"
"85",""
"Female","543"
"Male","463"
"9",""
"Female","6485"
"Male","6502"
