"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","14"
"Cow Dung","9"
"Electricity Fuel","2"
"KeroseneFuel","0"
"LP Gas","12"
"Not Sated about Fuel","20"
"OthersFuel","0"
"Wood/FireWood","3305"
"Total","3362"
