"Population by Caste Ethinicity","Number"
"Badi",""
"Female","7"
"Male","7"
"","14"
"Brahman - Hill",""
"Female","871"
"Male","827"
"","1698"
"Chhetri",""
"Female","3982"
"Male","3856"
"","7838"
"Dalit Others",""
"Female","36"
"Male","31"
"","67"
"Damai/Dholi",""
"Female","180"
"Male","181"
"","361"
"Gurung",""
"Female","61"
"Male","54"
"","115"
"Kami",""
"Female","818"
"Male","789"
"","1607"
"Lohar",""
"Female","39"
"Male","31"
"","70"
"Magar",""
"Female","2437"
"Male","2458"
"","4895"
"Others",""
"Female","26"
"Male","37"
"","63"
"Rai",""
"Female","9"
"Male","10"
"","19"
"Sanyasi/Dasnami",""
"Female","34"
"Male","28"
"","62"
"Sarki",""
"Female","276"
"Male","257"
"","533"
"Sherpa",""
"Female","6"
"Male","5"
"","11"
"Tamang",""
"Female","125"
"Male","132"
"","257"
"Thakuri",""
"Female","688"
"Male","626"
"","1314"
