"Population by Five Years Age Group","Number"
"0-4",""
"Female","575"
"Male","555"
"10-14",""
"Female","723"
"Male","703"
"15-19",""
"Female","558"
"Male","509"
"20-24",""
"Female","493"
"Male","292"
"25-29",""
"Female","388"
"Male","242"
"30-34",""
"Female","327"
"Male","225"
"35-39",""
"Female","308"
"Male","255"
"40-44",""
"Female","247"
"Male","243"
"45-49",""
"Female","260"
"Male","246"
"50-54",""
"Female","206"
"Male","213"
"55-59",""
"Female","175"
"Male","185"
"5-9",""
"Female","683"
"Male","651"
"60-64",""
"Female","175"
"Male","156"
"65-69",""
"Female","175"
"Male","162"
"70-74",""
"Female","95"
"Male","91"
"75+",""
"Female","94"
"Male","137"
