"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","841"
"Male","714"
"Byasi/Sauka",""
"Female","414"
"Male","369"
"Chhetri",""
"Female","3581"
"Male","3185"
"Dalit Others",""
"Female","39"
"Male","39"
"Damai/Dholi",""
"Female","10"
"Male","8"
"Kami",""
"Female","320"
"Male","278"
"Lohar",""
"Female","100"
"Male","95"
"Magar",""
"Female","6"
"Male","14"
"Others",""
"Female","9"
"Male","3"
"Sarki",""
"Female","23"
"Male","28"
"Tamang",""
"Female","30"
"Male","29"
"Thakuri",""
"Female","109"
"Male","103"
