"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","40"
"Male","34"
"Brahman - Hill",""
"Female","400"
"Male","357"
"Chhetri",""
"Female","1185"
"Male","998"
"Dalit Others",""
"Female","145"
"Male","149"
"Damai/Dholi",""
"Female","38"
"Male","36"
"Hajam/Thakur",""
"Female","7"
"Male","10"
"Kami",""
"Female","118"
"Male","104"
"Limbu",""
"Female","8"
"Male","4"
"Lohar",""
"Female","14"
"Male","12"
"Magar",""
"Female","404"
"Male","377"
"Others",""
"Female","22"
"Male","20"
"Sanyasi/Dasnami",""
"Female","171"
"Male","175"
"Sarki",""
"Female","53"
"Male","53"
"Terai Others",""
"Female","20"
"Male","18"
"Thakuri",""
"Female","121"
"Male","91"
"Tharu",""
"Female","8737"
"Male","8648"
