"Population by Five Years Age Group","Number"
"0-4",""
"Female","1177"
"Male","1190"
"10-14",""
"Female","1512"
"Male","1576"
"15-19",""
"Female","1429"
"Male","1207"
"20-24",""
"Female","1191"
"Male","925"
"25-29",""
"Female","928"
"Male","834"
"30-34",""
"Female","827"
"Male","707"
"35-39",""
"Female","665"
"Male","698"
"40-44",""
"Female","586"
"Male","555"
"45-49",""
"Female","436"
"Male","555"
"50-54",""
"Female","311"
"Male","341"
"55-59",""
"Female","281"
"Male","307"
"5-9",""
"Female","1426"
"Male","1442"
"60-64",""
"Female","259"
"Male","287"
"65-69",""
"Female","196"
"Male","223"
"70-74",""
"Female","134"
"Male","133"
"75+",""
"Female","125"
"Male","106"
