"Number of households by type of outer wall","Number"
"BambooWall","5753"
"Cement Bonded Bricks/Stone Wall","6264"
"Mud Bonded Bricks/Stone Wall","827"
"Not Stated about Wall","288"
"Other Type Wall","19"
"Unbaked Bricks","18"
"Wood/Planks","181"
"Total","13350"
