"Number of households by type of outer wall","Number"
"BambooWall","3950"
"Cement Bonded Bricks/Stone Wall","680"
"Mud Bonded Bricks/Stone Wall","337"
"Not stated","87"
"Others","148"
"Unbaked Bricks","6"
"Wood/Planks","34"
"Total","5242"
