"Population by Five Years Age Group","Number"
"0-4",""
"Female","333"
"Male","373"
"10-14",""
"Female","502"
"Male","410"
"15-19",""
"Female","366"
"Male","329"
"20-24",""
"Female","257"
"Male","246"
"25-29",""
"Female","203"
"Male","217"
"30-34",""
"Female","168"
"Male","167"
"35-39",""
"Female","189"
"Male","182"
"40-44",""
"Female","154"
"Male","155"
"45-49",""
"Female","163"
"Male","146"
"50-54",""
"Female","137"
"Male","146"
"55-59",""
"Female","98"
"Male","121"
"5-9",""
"Female","478"
"Male","428"
"60-64",""
"Female","119"
"Male","101"
"65-69",""
"Female","85"
"Male","80"
"70-74",""
"Female","53"
"Male","50"
"75+",""
"Female","67"
"Male","53"
