"Population by Age of First Marriage","Number"
"10-14 Years",""
"Female","93653"
"Male","14921"
"15-19 Years",""
"Female","435926"
"Male","137394"
"20-24 Years",""
"Female","179394"
"Male","208533"
"25-29 Years",""
"Female","28312"
"Male","95406"
"30-34 Years",""
"Female","6209"
"Male","22331"
"35-39 Years",""
"Female","1900"
"Male","6122"
"40-44 Years",""
"Female","684"
"Male","1890"
"45-49 Years",""
"Female","248"
"Male","590"
"50 Years Above",""
"Female","172"
"Male","444"
"Below 10 Year",""
"Female","13245"
"Male","1585"
