"Population by Single Year of Age","Number"
"0",""
"Female","19581"
"Male","20958"
"1",""
"Female","17837"
"Male","19842"
"10",""
"Female","31205"
"Male","32110"
"11",""
"Female","28566"
"Male","28810"
"12",""
"Female","33430"
"Male","34912"
"13",""
"Female","31277"
"Male","31097"
"14",""
"Female","32098"
"Male","31314"
"15",""
"Female","31859"
"Male","30616"
"16",""
"Female","30723"
"Male","28814"
"17",""
"Female","29546"
"Male","27100"
"18",""
"Female","31441"
"Male","27802"
"19",""
"Female","24740"
"Male","18809"
"2",""
"Female","20107"
"Male","21494"
"20",""
"Female","27498"
"Male","19693"
"21",""
"Female","24785"
"Male","16448"
"22",""
"Female","28818"
"Male","17246"
"23",""
"Female","23078"
"Male","13291"
"24",""
"Female","23627"
"Male","13733"
"25",""
"Female","28487"
"Male","15294"
"26",""
"Female","22281"
"Male","12353"
"27",""
"Female","21136"
"Male","12586"
"28",""
"Female","24042"
"Male","14011"
"29",""
"Female","14686"
"Male","9537"
"3",""
"Female","20344"
"Male","20984"
"30",""
"Female","30056"
"Male","16508"
"31",""
"Female","12627"
"Male","8330"
"32",""
"Female","19653"
"Male","11901"
"33",""
"Female","13451"
"Male","8592"
"34",""
"Female","13505"
"Male","8686"
"35",""
"Female","28580"
"Male","16144"
"36",""
"Female","15012"
"Male","9449"
"37",""
"Female","12230"
"Male","7893"
"38",""
"Female","15636"
"Male","10574"
"39",""
"Female","10666"
"Male","7359"
"4",""
"Female","22164"
"Male","23399"
"40",""
"Female","28527"
"Male","17785"
"41",""
"Female","9729"
"Male","7109"
"42",""
"Female","14217"
"Male","10689"
"43",""
"Female","10286"
"Male","7834"
"44",""
"Female","9148"
"Male","6957"
"45",""
"Female","21676"
"Male","14955"
"46",""
"Female","10272"
"Male","7800"
"47",""
"Female","9327"
"Male","7325"
"48",""
"Female","12515"
"Male","10414"
"49",""
"Female","8819"
"Male","7115"
"5",""
"Female","24146"
"Male","25469"
"50",""
"Female","22035"
"Male","16745"
"51",""
"Female","8321"
"Male","7731"
"52",""
"Female","10894"
"Male","10267"
"53",""
"Female","8096"
"Male","7404"
"54",""
"Female","7439"
"Male","6725"
"55",""
"Female","14107"
"Male","12105"
"56",""
"Female","8800"
"Male","8239"
"57",""
"Female","7873"
"Male","7430"
"58",""
"Female","8728"
"Male","8345"
"59",""
"Female","6575"
"Male","6009"
"6",""
"Female","23705"
"Male","24616"
"60",""
"Female","17799"
"Male","13575"
"61",""
"Female","6965"
"Male","6338"
"62",""
"Female","8079"
"Male","7122"
"63",""
"Female","6031"
"Male","5421"
"64",""
"Female","5314"
"Male","5005"
"65",""
"Female","11591"
"Male","9049"
"66",""
"Female","4832"
"Male","4490"
"67",""
"Female","5837"
"Male","5612"
"68",""
"Female","6557"
"Male","6863"
"69",""
"Female","3168"
"Male","3606"
"7",""
"Female","26528"
"Male","27077"
"70",""
"Female","10550"
"Male","8463"
"71",""
"Female","3114"
"Male","3560"
"72",""
"Female","4793"
"Male","5027"
"73",""
"Female","3188"
"Male","3723"
"74",""
"Female","2450"
"Male","2699"
"75",""
"Female","6147"
"Male","5099"
"76",""
"Female","2591"
"Male","2849"
"77",""
"Female","2594"
"Male","2626"
"78",""
"Female","3362"
"Male","3629"
"79",""
"Female","1760"
"Male","1790"
"8",""
"Female","26892"
"Male","28912"
"80",""
"Female","4041"
"Male","3129"
"81",""
"Female","1451"
"Male","1557"
"82",""
"Female","1673"
"Male","1710"
"83",""
"Female","1431"
"Male","1532"
"84",""
"Female","1707"
"Male","1488"
"85",""
"Female","6542"
"Male","5669"
"9",""
"Female","25955"
"Male","26431"
