"Population by Rural/Urban","Number"
"Metropolitan City Population",""
"Female","212827"
"Male","201107"
"Total","413934"
"Municipality Population",""
"Female","581227"
"Male","471628"
"Total","1052855"
"Number of Metropolitan City","1"
"Number of Municipality","26"
"Number of Rural Municipality","58"
"Number of Sub-Metropolitan City","0"
"Rural Municipality Population",""
"Female","518895"
"Male","418073"
"Total","936968"
"Sub-Metropolitan City Population",""
"Female","0"
"Male","0"
"Total","0"
