"Agricultural land use area","Hectare"
"Area under arable land","163926.72"
"Area under meadows and pasture","6008.48"
"Area under permanent crops","20298.62"
"Area under Temporary crops","158158.66"
"Area under temporary fallow","4665.47"
"Area under temporary meadows","1102.60"
"Other land","10554.41"
"Ponds","60.32"
"Woodland and forest","8949.71"
