"Agricultural Land Use","Hectare"
"All Other Land","16382.80"
"Land Used for Permanent Crop","20298.60"
"Land used for Permanent Meadows and Pastures","6008.50"
"Land used for Temporary Crop","158158.70"
"Wood Land and Forest","8949.70"
"Total","209798.30"
