"Industries Types","Number"
"Accommodation and food","672"
"Administrative and support service activity","12"
"Agriculture, forestry and fishing","584"
"Art, entertainment and recreation","5"
"Construction","17"
"Education","431"
"Electricty gas and water","22"
"Financial intermediation and insurance","405"
"Health and social work","199"
"Information and communications","5"
"Manufacturing","625"
"Mining and quarrying","2"
"Other service activities","317"
"Professional,scientific and techniqual activity","31"
"Real state, renting and business activities","0"
"Transport and storage","23"
"Water supply, wet management","59"
"Wholesale and retail trade","2212"
"Total","5621"
