"Gross value added by industry (at constant price)","Rs (,000)"
"Agriculture and forestry","58420738"
"Construction","10093937"
"Education","9795405"
"Electricty gas and water","4558025"
"Financial intermediation","3361001"
"Fishing","745899"
"Health and social work","2760789"
"Hotels and restaurants","2200136"
"Manufacturing","12222079"
"Mining and quarrying","577760"
"Other community, social and personal service activities","7727887"
"Public administration and defence","2516678"
"Real estate, renting and business activities","6287411"
"Transport, storage and communications","9391657"
"Wholesale and retail trade","13725377"
"Total","144384779"
