"Annual Growth rate of GDP by economic activities","Percentage %"
"Agriculture and forestry","4.53"
"Construction","8.70"
"Education","4.94"
"Electricty gas and water","16.30"
"Financial intermediation","5.16"
"Fishing","5.92"
"Health and social work","5.79"
"Hotels and restaurants","8.41"
"Manufacturing","5.55"
"Mining and quarrying","9.19"
"Other community, social and personal service activities","6.98"
"Public administration and defence","6.56"
"Real estate, renting and business activities","4.53"
"Transport, storage and communications","4.42"
"Wholesale and retail trade","14.30"
