"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","138"
"Cow Dung","11"
"Electricity Fuel","3"
"KeroseneFuel","17"
"LP Gas","84"
"Not Sated about Fuel","24"
"OthersFuel","0"
"Wood/FireWood","4726"
"Total","5003"
