"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","3446"
"Male","3157"
"","6603"
"Chepang /Praja",""
"Female","7"
"Male","8"
"","15"
"Chhetri",""
"Female","937"
"Male","833"
"","1770"
"Damai/Dholi",""
"Female","96"
"Male","106"
"","202"
"Gurung",""
"Female","36"
"Male","26"
"","62"
"Kami",""
"Female","313"
"Male","261"
"","574"
"Magar",""
"Female","308"
"Male","251"
"","559"
"Newar",""
"Female","177"
"Male","176"
"","353"
"Others",""
"Female","25"
"Male","33"
"","58"
"Sanyasi/Dasnami",""
"Female","11"
"Male","6"
"","17"
"Sunuwar",""
"Female","12"
"Male","10"
"","22"
"Tamang",""
"Female","7657"
"Male","7391"
"","15048"
"Terai Others",""
"Female","8"
"Male","8"
"","16"
"Thakuri",""
"Female","10"
"Male","13"
"","23"
