"Population by Religion","Number"
"Bahai","0"
"Bon","1"
"Buddism","14324"
"Christianity","482"
"Hindu","10425"
"Islam","2"
"Jainism","0"
"Kirat","0"
"Prakriti","4"
"Sikhism","0"
"Undefined","141"
"Total","25379"
