"Population by Caste Ethinicity","Number"
"Badi",""
"Female","23"
"Male","17"
"","40"
"Brahman - Hill",""
"Female","855"
"Male","710"
"","1565"
"Chhetri",""
"Female","631"
"Male","541"
"","1172"
"Damai/Dholi",""
"Female","161"
"Male","137"
"","298"
"Kami",""
"Female","538"
"Male","442"
"","980"
"Magar",""
"Female","3206"
"Male","2451"
"","5657"
"Newar",""
"Female","1839"
"Male","1554"
"","3393"
"Others",""
"Female","43"
"Male","39"
"","82"
"Pahari",""
"Female","169"
"Male","164"
"","333"
"Sarki",""
"Female","278"
"Male","269"
"","547"
"Sherpa",""
"Female","82"
"Male","69"
"","151"
"Tamang",""
"Female","3667"
"Male","3069"
"","6736"
"Thami",""
"Female","944"
"Male","840"
"","1784"
