"Population by Mother tongue","Number"
"Bantawa",""
"Female","11"
"Male","17"
"","28"
"Chamling",""
"Female","302"
"Male","242"
"","544"
"Dumi",""
"Female","30"
"Male","19"
"","49"
"Gurung",""
"Female","119"
"Male","105"
"","224"
"Jero/Jerung",""
"Female","54"
"Male","57"
"","111"
"Khaling",""
"Female","249"
"Male","214"
"","463"
"Kulung",""
"Female","129"
"Male","113"
"","242"
"Limbu",""
"Female","1376"
"Male","1241"
"","2617"
"Magar",""
"Female","258"
"Male","222"
"","480"
"Maithili",""
"Female","19"
"Male","39"
"","58"
"Nachhiring",""
"Female","8"
"Male","7"
"","15"
"Nepali",""
"Female","7109"
"Male","6102"
"","13211"
"Newar",""
"Female","419"
"Male","345"
"","764"
"Not Reported",""
"Female","47"
"Male","41"
"","88"
"Others",""
"Female","34"
"Male","35"
"","69"
"Puma",""
"Female","19"
"Male","19"
"","38"
"Rai",""
"Female","253"
"Male","191"
"","444"
"Rajsthani",""
"Female","19"
"Male","16"
"","35"
"Sampang",""
"Female","8"
"Male","4"
"","12"
"Sherpa",""
"Female","1503"
"Male","1333"
"","2836"
"Tamang",""
"Female","2000"
"Male","1701"
"","3701"
"Tharu",""
"Female","3"
"Male","10"
"","13"
"Thulung",""
"Female","182"
"Male","187"
"","369"
"Yakkha",""
"Female","487"
"Male","410"
"","897"
