"Population by Five Years Age Group","Number"
"0-4",""
"Female","1746"
"Male","1994"
"10-14",""
"Female","3432"
"Male","3523"
"15-19",""
"Female","3661"
"Male","3462"
"20-24",""
"Female","3367"
"Male","2335"
"25-29",""
"Female","2940"
"Male","1892"
"30-34",""
"Female","2296"
"Male","1663"
"35-39",""
"Female","2228"
"Male","1518"
"40-44",""
"Female","1821"
"Male","1592"
"45-49",""
"Female","1479"
"Male","1362"
"50-54",""
"Female","1258"
"Male","1280"
"55-59",""
"Female","916"
"Male","952"
"5-9",""
"Female","2419"
"Male","2518"
"60-64",""
"Female","852"
"Male","810"
"65-69",""
"Female","645"
"Male","692"
"70-74",""
"Female","454"
"Male","470"
"75+",""
"Female","663"
"Male","685"
