"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1455"
"Cow Dung","32"
"Electricity","35"
"Kerosene","69"
"LP Gas","3960"
"Not stated","47"
"Others","260"
"Wood/Firewood","6473"
"Total","12331"
