"Agricultural land use area","Hectare"
"Area under arable land","25006.22"
"Area under meadows and pasture","280.46"
"Area under permanent crops","2070.30"
"Area under Temporary crops","24421.47"
"Area under temporary fallow","532.73"
"Area under temporary meadows","52.02"
"Other land","1111.38"
"Ponds","3.57"
"Woodland and forest","1303.90"
