"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","71"
"Cow Dung","153"
"Electricity","5"
"Kerosene","178"
"LP Gas","491"
"Not stated","49"
"Others","155"
"Wood/Firewood","38291"
"Total","39393"
