"Population by Five Years Age Group","Number"
"0-4",""
"Female","8745"
"Male","9082"
"10-14",""
"Female","11953"
"Male","11947"
"15-19",""
"Female","11670"
"Male","10522"
"20-24",""
"Female","8790"
"Male","5618"
"25-29",""
"Female","6918"
"Male","4711"
"30-34",""
"Female","5256"
"Male","4055"
"35-39",""
"Female","5197"
"Male","4008"
"40-44",""
"Female","5204"
"Male","4248"
"45-49",""
"Female","4893"
"Male","4265"
"50-54",""
"Female","4394"
"Male","4171"
"55-59",""
"Female","3308"
"Male","3261"
"5-9",""
"Female","10742"
"Male","10922"
"60-64",""
"Female","3081"
"Male","2873"
"65-69",""
"Female","2265"
"Male","2267"
"70-74",""
"Female","1616"
"Male","1766"
"75+",""
"Female","2374"
"Male","2337"
