"Number of households by type of outer wall","Number"
"BambooWall","5553"
"Cement Bonded Bricks/Stone Wall","1522"
"Mud Bonded Bricks/Stone Wall","182"
"Not Stated about Wall","71"
"Other Type Wall","50"
"Unbaked Bricks","35"
"Wood/Planks","698"
"Total","8111"
