"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2489"
"Male","1966"
"Brahmu/ Baramo",""
"Female","401"
"Male","318"
"Chhetri",""
"Female","1557"
"Male","1218"
"Dalit Others",""
"Female","10"
"Male","8"
"Damai/Dholi",""
"Female","598"
"Male","544"
"Ghale",""
"Female","34"
"Male","37"
"Gharti/Bhujel",""
"Female","188"
"Male","145"
"Gurung",""
"Female","3140"
"Male","2538"
"Kami",""
"Female","1026"
"Male","831"
"Kumal",""
"Female","516"
"Male","386"
"Magar",""
"Female","401"
"Male","335"
"Musalman",""
"Female","218"
"Male","152"
"Newar",""
"Female","434"
"Male","348"
"Others",""
"Female","36"
"Male","26"
"Rai",""
"Female","10"
"Male","3"
"Sanyasi/Dasnami",""
"Female","156"
"Male","118"
"Sarki",""
"Female","1272"
"Male","1061"
"Tamang",""
"Female","577"
"Male","453"
"Thakuri",""
"Female","38"
"Male","29"
"Tharu",""
"Female","6"
"Male","5"
