"Agricultural land use area","Hectare"
"Area under arable land","29134.00"
"Area under meadows and pasture","326.00"
"Area under permanent crops","18022.00"
"Area under Temporary crops","28167.00"
"Area under temporary fallow","719.00"
"Area under temporary meadows","248.00"
"Other land","2110.00"
"Ponds","19.00"
"Woodland and forest","3784.00"
"Total","82529.00"
