"Number of households by type of outer wall","Number"
"BambooWall","11568"
"Cement Bonded Bricks/Stone Wall","6195"
"Mud Bonded Bricks/Stone Wall","32325"
"Not Stated about Wall","461"
"Other Type Wall","1229"
"Unbaked Bricks","158"
"Wood/Planks","12541"
"Total","64477"
