"Population by Five Years Age Group","Number"
"0-4",""
"Female","1353"
"Male","1335"
"10-14",""
"Female","1689"
"Male","1626"
"15-19",""
"Female","1375"
"Male","1032"
"20-24",""
"Female","1012"
"Male","420"
"25-29",""
"Female","818"
"Male","327"
"30-34",""
"Female","686"
"Male","326"
"35-39",""
"Female","691"
"Male","350"
"40-44",""
"Female","589"
"Male","381"
"45-49",""
"Female","544"
"Male","422"
"50-54",""
"Female","494"
"Male","428"
"55-59",""
"Female","411"
"Male","364"
"5-9",""
"Female","1587"
"Male","1569"
"60-64",""
"Female","369"
"Male","334"
"65-69",""
"Female","281"
"Male","272"
"70-74",""
"Female","187"
"Male","197"
"75+",""
"Female","215"
"Male","264"
