"Population by Five Years Age Group","Number"
"0-4",""
"Female","1704"
"Male","1668"
"10-14",""
"Female","1655"
"Male","1858"
"15-19",""
"Female","1063"
"Male","1321"
"20-24",""
"Female","989"
"Male","924"
"25-29",""
"Female","971"
"Male","1002"
"30-34",""
"Female","887"
"Male","823"
"35-39",""
"Female","726"
"Male","767"
"40-44",""
"Female","568"
"Male","678"
"45-49",""
"Female","425"
"Male","531"
"50-54",""
"Female","359"
"Male","408"
"55-59",""
"Female","351"
"Male","318"
"5-9",""
"Female","2038"
"Male","1940"
"60-64",""
"Female","300"
"Male","356"
"65-69",""
"Female","223"
"Male","253"
"70-74",""
"Female","133"
"Male","206"
"75+",""
"Female","95"
"Male","113"
