"Population by Five Years Age Group","Number"
"0-4",""
"Female","28077"
"Male","32065"
"10-14",""
"Female","42146"
"Male","47499"
"15-19",""
"Female","50702"
"Male","64934"
"20-24",""
"Female","63169"
"Male","74105"
"25-29",""
"Female","57168"
"Male","60227"
"30-34",""
"Female","45614"
"Male","49970"
"35-39",""
"Female","37147"
"Male","41808"
"40-44",""
"Female","28390"
"Male","34656"
"45-49",""
"Female","21508"
"Male","25636"
"50-54",""
"Female","16755"
"Male","19629"
"55-59",""
"Female","12244"
"Male","13846"
"5-9",""
"Female","34649"
"Male","40125"
"60-64",""
"Female","10253"
"Male","10225"
"65-69",""
"Female","7765"
"Male","7289"
"70-74",""
"Female","5728"
"Male","4869"
"75+",""
"Female","8843"
"Male","6244"
