"Population by Literacy Status","Number"
"Literate",""
"Female","362573"
"Male","447899"
"Not Read/Write",""
"Female","65813"
"Male","26489"
"Not Stated",""
"Female","167"
"Male","73"
"Read Only",""
"Female","7080"
"Male","5449"
