"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","4792"
"Male","4135"
"","8927"
"Chhetri",""
"Female","7370"
"Male","6325"
"","13695"
"Dalit Others",""
"Female","267"
"Male","264"
"","531"
"Damai/Dholi",""
"Female","786"
"Male","658"
"","1444"
"Kami",""
"Female","1198"
"Male","985"
"","2183"
"Kumal",""
"Female","9"
"Male","14"
"","23"
"Limbu",""
"Female","6"
"Male","7"
"","13"
"Lohar",""
"Female","734"
"Male","600"
"","1334"
"Magar",""
"Female","16"
"Male","33"
"","49"
"Others",""
"Female","24"
"Male","23"
"","47"
"Rai",""
"Female","7"
"Male","16"
"","23"
"Sarki",""
"Female","53"
"Male","59"
"","112"
"Terai Others",""
"Female","9"
"Male","8"
"","17"
"Thakuri",""
"Female","1167"
"Male","858"
"","2025"
"Tharu",""
"Female","6"
"Male","6"
"","12"
